SONY,,,,,,,
Date,Open,High,Low,Close,Adj Close,Volume,Days
2018-04-24,49.98,50,49.130001,49.389999,49.389999,1256900,44
2018-04-25,49.630001,49.700001,49.220001,49.580002,49.580002,802200,45
2018-04-26,49.990002,50.470001,49.799999,50.18,50.18,1127400,46
2018-04-27,47.34,47.349998,44.529999,45.5,45.5,6676300,47
2018-04-30,45.740002,46.049999,45.459999,45.830002,45.830002,1113200,48
2018-05-01,46,46.389999,45.630001,46.349998,46.349998,1987800,49
2018-05-02,46.459999,46.779999,46.27,46.66,46.66,1370900,50
2018-05-03,46.700001,47.189999,46.470001,47.099998,47.099998,1467900,51
2018-05-04,46.759998,47.669998,46.650002,47.57,47.57,1041300,52
2018-05-07,47.419998,47.720001,47.200001,47.439999,47.439999,1213800,53
2018-05-08,47.400002,47.5,47.220001,47.389999,47.389999,918500,54
2018-05-09,47.220001,47.66,47.080002,47.310001,47.310001,1107200,55
2018-05-10,46.599998,47,46.529999,46.880001,46.880001,838000,56
2018-05-11,47.220001,48.209999,47.200001,48.080002,48.080002,1648100,57
2018-05-14,48.200001,48.43,48.029999,48.34,48.34,842300,58
2018-05-15,48.200001,48.43,47.200001,47.509998,47.509998,908100,59
2018-05-16,47.830002,47.970001,47.610001,47.82,47.82,626500,60
2018-05-17,48.779999,48.98,48.540001,48.799999,48.799999,1145100,61
2018-05-18,48.580002,48.740002,48.25,48.599998,48.599998,655100,62
2018-05-21,48.650002,48.68,48.290001,48.389999,48.389999,624100,63
2018-05-22,47.889999,47.889999,47.02,47.060001,47.060001,1047300,64
2018-05-23,46.459999,46.470001,46,46.470001,46.470001,1070100,65
2018-05-24,46.650002,46.650002,46.110001,46.459999,46.459999,806100,66
2018-05-25,46.27,46.639999,46.25,46.400002,46.400002,762100,67
2018-05-29,46.880001,46.950001,46.32,46.599998,46.599998,1129500,68
2018-05-30,47.060001,47.290001,47.02,47.209999,47.209999,747100,69
2018-05-31,47.25,47.299999,46.860001,47.09,47.09,708900,70
2018-06-01,47.349998,47.779999,47.349998,47.669998,47.669998,439500,71
2018-06-04,48.360001,49.150002,48.310001,49.080002,49.080002,1359100,72
2018-06-05,49.18,49.389999,48.919998,49.310001,49.310001,994400,73
2018-06-06,50.02,50.259998,49.919998,50.18,50.18,2584000,74
2018-06-07,50.040001,50.139999,49.709999,49.880001,49.880001,688800,75
2018-06-08,49.650002,50,49.419998,49.959999,49.959999,582500,76
2018-06-11,50.240002,50.669998,50.189999,50.5,50.5,597000,77
2018-06-12,49.759998,50.150002,49.68,49.849998,49.849998,528900,78
2018-06-13,49.82,50.169998,49.529999,49.82,49.82,835300,79
2018-06-14,49.400002,49.439999,49.119999,49.130001,49.130001,731300,80
2018-06-15,48.959999,49.25,48.959999,49.119999,49.119999,520000,81
2018-06-18,48.5,48.5,48.02,48.369999,48.369999,777900,82
2018-06-19,48.009998,48.259998,47.540001,48.240002,48.240002,712100,83
2018-06-20,48.98,49.900002,48.77,49.560001,49.560001,1281000,84
2018-06-21,49.599998,49.669998,48.889999,49.220001,49.220001,761300,85
2018-06-22,49.900002,50.68,49.799999,50.369999,50.369999,1174800,86
2018-06-25,49.970001,50,49.220001,49.529999,49.529999,646500,87
2018-06-26,49.959999,50.32,49.700001,50,50,637900,88
2018-06-27,50.560001,51.450001,50.290001,50.290001,50.290001,1298400,89
2018-06-28,51.43,51.84,51.200001,51.700001,51.700001,1284500,90
2018-06-29,51.369999,51.610001,51.200001,51.259998,51.259998,1047500,91
2018-07-02,50.400002,50.959999,50.279999,50.939999,50.939999,480000,92
2018-07-03,51,51.360001,50.919998,50.970001,50.970001,581100,93
2018-07-05,48.709999,49.349998,48.509998,49.060001,49.060001,1709800,94
2018-07-06,49.25,49.59,49.18,49.580002,49.580002,447600,95
2018-07-09,51.419998,51.639999,51.080002,51.610001,51.610001,852300,96
2018-07-10,51.279999,51.77,51.27,51.68,51.68,489600,97
2018-07-11,51.669998,52.25,51.630001,51.959999,51.959999,1036100,98
2018-07-12,52.029999,52.400002,51.990002,52.209999,52.209999,1011400,99
2018-07-13,53.049999,53.490002,52.959999,53.310001,53.310001,867800,100
2018-07-16,53.349998,53.490002,53.200001,53.27,53.27,446900,101
2018-07-17,53.279999,54.029999,53.259998,53.630001,53.630001,804100,102
2018-07-18,53.18,53.18,52.759998,53.07,53.07,630300,103
2018-07-19,52.73,52.880001,52.5,52.630001,52.630001,590400,104
2018-07-20,52.790001,53.380001,52.650002,52.950001,52.950001,944200,105
2018-07-23,53.049999,53.400002,53.02,53.150002,53.150002,458500,106
2018-07-24,52.790001,53.09,52.450001,52.669998,52.669998,918800,107
2018-07-25,53.290001,53.740002,53.110001,53.66,53.66,682100,108
2018-07-26,53.580002,53.82,53.490002,53.66,53.66,506500,109
2018-07-27,53.720001,53.84,53.290001,53.400002,53.400002,653200,110
2018-07-30,53.23,53.23,52.18,52.34,52.34,1068400,111
2018-07-31,54.619999,55.5,53.509998,54.02,54.02,1683100,112
2018-08-01,54.830002,55.119999,54.650002,55,55,1252400,113
2018-08-02,54.540001,55.5,54.509998,55.279999,55.279999,1052300,114
2018-08-03,54.919998,55.209999,54.740002,54.959999,54.959999,923000,115
2018-08-06,54.77,54.799999,54.240002,54.459999,54.459999,611500,116
2018-08-07,55.299999,55.82,55.169998,55.549999,55.549999,886100,117
2018-08-08,54.939999,55.009998,54.66,54.790001,54.790001,775700,118
2018-08-09,55.43,55.580002,55.150002,55.389999,55.389999,614900,119
2018-08-10,54.450001,54.810001,54.439999,54.650002,54.650002,1220400,120
2018-08-13,54.040001,54.580002,53.970001,54.169998,54.169998,1009400,121
2018-08-14,54.360001,54.360001,54.049999,54.279999,54.279999,737100,122
2018-08-15,53.720001,53.849998,53.080002,53.709999,53.709999,1161900,123
2018-08-16,53.860001,54.189999,53.740002,53.84,53.84,1480400,124
2018-08-17,54.130001,54.98,54.009998,54.869999,54.869999,1273100,125
2018-08-20,54.560001,54.810001,54.279999,54.59,54.59,570400,126
2018-08-21,54.5,54.77,54.349998,54.419998,54.419998,463600,127
2018-08-22,54.330002,54.709999,54.290001,54.619999,54.619999,637500,128
2018-08-23,54.23,54.619999,54.130001,54.41,54.41,1752100,129
2018-08-24,54.639999,54.779999,54.419998,54.540001,54.540001,699500,130
2018-08-27,55.48,56.220001,55.419998,56.02,56.02,905200,131
2018-08-28,55.869999,56.07,55.110001,55.77,55.77,1561300,132
2018-08-29,56.450001,57.200001,56.25,57.07,57.07,1093200,133
2018-08-30,56.779999,57.029999,56.41,56.68,56.68,712600,134
2018-08-31,56.849998,57.220001,56.630001,56.830002,56.830002,493100,135
2018-09-04,56.400002,56.43,55.689999,56.18,56.18,599600,136
2018-09-05,56,56.009998,55.189999,55.5,55.5,743300,137
2018-09-06,56.57,56.599998,55.959999,56.360001,56.360001,1148600,138
2018-09-07,56.119999,56.740002,56,56.529999,56.529999,873100,139
2018-09-10,56.82,56.880001,56.560001,56.68,56.68,1071600,140
2018-09-11,56.48,56.880001,56.48,56.849998,56.849998,661400,141
2018-09-12,56.990002,57.509998,56.869999,57.470001,57.470001,608200,142
2018-09-13,57.720001,58.099998,57.619999,57.759998,57.759998,625500,143
2018-09-14,59.380001,59.509998,59.130001,59.439999,59.439999,1254200,144
2018-09-17,59.689999,59.900002,59.240002,59.290001,59.290001,738400,145
